LR_pred,GB_pred,ga_rank_1_ts_1768337411_logloss_0_3960,ga_rank_1_ts_1768344940_logloss_0_3887,ga_rank_3_ts_1768344941_logloss_0_3887,ga_rank_4_ts_1768344941_logloss_0_3887,ga_rank_6_ts_1768344943_logloss_0_3887,ga_rank_7_ts_1768344943_logloss_0_3889,ga_rank_8_ts_1768344944_logloss_0_3889,ga_rank_9_ts_1768344944_logloss_0_3889,ga_rank_10_ts_1768344944_logloss_0_3889,ga_rank_1_ts_1768489230_logloss_0_4002,ga_rank_2_ts_1768489232_logloss_0_4002,Transported
0.8197283,0.7689490618410855,0.832506057627893,0.6712557559969898,0.882332217257753,0.7703729623616987,0.915186772991467,0.666712799120219,0.8499350809607166,0.9212767016773359,0.7731764547891878,0.6659627166299671,0.8523515496261043,0
0.11740964,0.244971240574286,0.09903304438522731,0.10742866221296105,0.09322916333831566,0.09972272303947556,0.09685853679760335,0.10115086256428739,0.09277944582135329,0.09865210765559114,0.19984340563746514,0.10367351994767197,0.0954053442374601,1
2.478655e-05,0.4099001948973133,0.0706639189397957,0.06878656592913025,0.07390603026016444,0.0755147369733201,0.07762482008688835,0.0765852219476631,0.07056571814859876,0.08946929515412656,0.1503357920644443,0.07608477941070635,0.07115933801777567,0
0.0083291,0.2595289010171257,0.05563526629613177,0.053277810579292866,0.05565161902468178,0.06060204570654731,0.06258534024343444,0.05973762461442242,0.05666323117721552,0.06691948586800064,0.10960374205760696,0.060214368134407115,0.05961007814087155,0
0.11057553,0.244971240574286,0.10171623286899338,0.1218880297625522,0.09588052929792205,0.10820734504497491,0.09902406474044641,0.11929634569662861,0.0991000273942534,0.09928217093609533,0.22502676137851232,0.11650010105994707,0.10279997964762368,1
0.2456517,0.3205425894561874,0.1335114556946144,0.13703590286407377,0.1335140433735533,0.13774091311401815,0.14314754763405932,0.1395448914103403,0.13250854173489698,0.13788817590770178,0.3240906790274122,0.14278095270751195,0.13320562404050013,1
0.5592239,0.4737204887871958,0.6480715797812255,0.6597810621556929,0.6388750849281825,0.6668798680043909,0.5993934415061959,0.6628299124491136,0.6464953546941369,0.5993427946532471,0.5477168663552616,0.6680885584133435,0.6415174696377819,1
0.642695,0.7328256315113852,0.5551158884308461,0.5302132813757137,0.5659925914991613,0.5589203256062439,0.6105882866815014,0.5441598019464585,0.5733086038840127,0.618121221808206,0.4731164260888779,0.5523654810015365,0.5675121805350348,1
0.38973314,0.3797401165464165,0.27233356412283233,0.24921587325805725,0.2728095195144505,0.27133119567237246,0.2739391526371971,0.25592552935936486,0.2638989216239992,0.2891221595744617,0.3978850801194132,0.2510503233119699,0.2664282203357244,1
0.96195936,0.830647891298105,0.9552110057557556,0.9571265715224917,0.9570285194261808,0.9574538991244697,0.9521969999733256,0.9565508232687708,0.9602862460017872,0.9527719133562983,0.9049374940843263,0.9568221347487244,0.9585254960104588,1
